,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs
0,New Jersey Devils,14.0,21.0,27.0,20.0,197.0,208.0,No
1,Philadelphia Flyers,18.0,24.0,23.0,17.0,236.0,235.0,Yes
2,Los Angeles Kings,23.0,23.0,18.0,18.0,206.0,174.0,Yes
3,Tampa Bay Lightning,21.0,25.0,20.0,16.0,240.0,215.0,Yes
4,Boston Bruins,23.0,31.0,18.0,10.0,261.0,177.0,Yes
5,New York Rangers,25.0,20.0,16.0,21.0,218.0,193.0,Yes
6,Pittsburgh Penguins,23.0,28.0,18.0,13.0,249.0,207.0,Yes
7,Detroit Red Wings,21.0,18.0,20.0,23.0,222.0,230.0,Yes
8,San Jose Sharks,22.0,29.0,19.0,12.0,249.0,200.0,Yes
9,Nashville Predators,19.0,19.0,22.0,22.0,216.0,242.0,No
10,Vancouver Canucks,16.0,20.0,25.0,21.0,196.0,223.0,No
11,Chicago Blackhawks,19.0,27.0,22.0,14.0,267.0,220.0,Yes
12,Ottawa Senators,19.0,18.0,22.0,23.0,236.0,265.0,No
13,Montreal Canadiens,23.0,23.0,18.0,18.0,215.0,204.0,Yes
14,Minnesota Wild,17.0,26.0,24.0,15.0,207.0,206.0,Yes
15,Washington Capitals,17.0,21.0,24.0,20.0,235.0,240.0,No
16,St Louis Blues,24.0,28.0,17.0,13.0,248.0,191.0,Yes
17,Anaheim Ducks,25.0,29.0,16.0,12.0,266.0,209.0,Yes
18,Phoenix Coyotes,15.0,22.0,26.0,19.0,216.0,231.0,No
19,New York Islanders,21.0,13.0,20.0,28.0,225.0,267.0,No
20,Toronto Maple Leafs,14.0,24.0,27.0,17.0,231.0,256.0,No
21,Florida Panthers,13.0,16.0,28.0,25.0,196.0,268.0,No
22,Buffalo Sabres,8.0,13.0,33.0,28.0,157.0,248.0,No
23,Calgary Flames,16.0,19.0,25.0,22.0,209.0,241.0,No
24,Colorado Avalanche,26.0,26.0,15.0,15.0,250.0,220.0,Yes
25,Dallas Stars,17.0,23.0,24.0,18.0,235.0,228.0,Yes
26,Columbus Blue Jackets,21.0,22.0,20.0,19.0,231.0,216.0,Yes
27,Winnipeg Jets,19.0,18.0,22.0,23.0,227.0,237.0,No
28,Edmonton Oilers,13.0,16.0,28.0,25.0,203.0,270.0,No
29,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0,No
30,Carolina Hurricanes,18.0,18.0,23.0,23.0,207.0,230.0,No
31,Arizona Coyotes,0.0,0.0,0.0,0.0,0.0,0.0,No
32,Atlanta Thrashers,0.0,0.0,0.0,0.0,0.0,0.0,No
